dataset,model,scope,metric,mean,median,lower_2_5,upper_97_5,p95,repetitions
refl4,owlv2,full_manifest,sample_rmse,0.06402612964689268,0.06398730342810204,0.06047054990794922,0.06757912023445314,0.0669664093665928,2000
refl4,owlv2,full_manifest,sample_spearman,0.9512976110892484,0.9513916801363924,0.9463071142636896,0.9558967101708533,0.9551832119463768,2000
refl4,owlv2,clean_eligible,absolute_model_mean_difference,0.0016039579158316631,0.0013276553106212428,7.515030060120102e-05,0.004483967935871743,0.003982965931863728,2000
refl4,owlv2,clean_eligible,sample_mae,0.04412186873747495,0.04406312625250501,0.04180736472945891,0.04661948897795591,0.04621743486973948,2000
refl4,owlv2,clean_eligible,sample_rmse,0.06409025197608,0.064051386872734,0.06053111131512344,0.06764680089261195,0.06703347639328298,2000
refl4,owlv2,clean_eligible,sample_spearman,0.9510007013601944,0.9510953933983186,0.945979753772073,0.9556279399263387,0.9549103058547198,2000
refl4,yoloworld,full_manifest,absolute_model_mean_difference,0.001494375,0.0012500000000000007,5.000000000000165e-05,0.00415,0.0036500000000000005,2000
refl4,yoloworld,full_manifest,sample_mae,0.037380725,0.037399999999999996,0.0352,0.039700000000000006,0.03935,2000
refl4,yoloworld,full_manifest,sample_rmse,0.059448136656463216,0.05943483826847684,0.05621387729022079,0.06304760106459245,0.06241193735039292,2000
refl4,yoloworld,full_manifest,sample_spearman,0.9840257048999074,0.9840538267544184,0.9821812175400917,0.9856453037995687,0.9853716277969273,2000
refl4,yoloworld,clean_eligible,absolute_model_mean_difference,0.0019134122919334184,0.0016005121638924462,6.402048655570014e-05,0.005313700384122919,0.0046734955185659425,2000
refl4,yoloworld,clean_eligible,sample_mae,0.04786264404609475,0.047887323943661964,0.04507042253521127,0.05083226632522408,0.05038412291933419,2000
refl4,yoloworld,clean_eligible,sample_rmse,0.06726865273951842,0.06725360492315673,0.06360892036750901,0.07134163357519911,0.07062234708356854,2000
refl4,yoloworld,clean_eligible,sample_spearman,0.9667425035968502,0.9667999170322206,0.9628945923702767,0.9701115098068591,0.9695392168129805,2000
