dataset,model,image_id,ref_id,clean_eligible,clean_correct,reference_successes,reference_trials,reference_mean,lower_95,upper_95,interval_width
refl4,yoloworld,1000399114,10030,1,1,41,80,0.5125,0.39810466870318556,0.625942518555561,0.22783784985237548
refl4,yoloworld,7945,43100,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001151868,4043,1,0,77,80,0.9625,0.8942980149834914,0.9921988127342833,0.09790079775079197
refl4,yoloworld,348639,27523,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,78307,17135,1,0,69,80,0.8625,0.7672791291752744,0.9293121672961213,0.1620330381208469
refl4,yoloworld,1001436070,4654,1,1,37,80,0.4625,0.3502764265383982,0.5775824719951649,0.2273060454567667
refl4,yoloworld,304765,45184,1,1,80,80,1.0,0.9549359649323077,1.0,0.0450640350676923
refl4,yoloworld,474725,29070,1,1,37,80,0.4625,0.3502764265383982,0.5775824719951649,0.2273060454567667
refl4,yoloworld,122667,37421,1,0,10,80,0.125,0.06160209655843424,0.2178891340694363,0.15628703751100206
refl4,yoloworld,1002157872,16751,1,0,67,80,0.8375,0.7381631061748871,0.9105383582774708,0.17237525210258364
refl4,yoloworld,1000347445,14375,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,405709,20034,1,0,69,80,0.8625,0.7672791291752744,0.9293121672961213,0.1620330381208469
refl4,yoloworld,440689,42905,1,1,40,80,0.5,0.3860478833649093,0.6139521166350907,0.22790423327018144
refl4,yoloworld,181681,37887,1,1,69,80,0.8625,0.7672791291752744,0.9293121672961213,0.1620330381208469
refl4,yoloworld,216119,38190,1,0,64,80,0.8,0.6956311329945355,0.8811409135950147,0.18550978060047918
refl4,yoloworld,183236,31052,1,1,58,80,0.725,0.6137565791555909,0.8189623614429612,0.2052057822873703
refl4,yoloworld,26498,35722,0,0,0,0,0.0,0.0,0.0,0.0
refl4,yoloworld,1001364499,8714,1,0,56,80,0.7,0.5872406769186242,0.7974260708533272,0.21018539393470292
refl4,yoloworld,493307,30374,1,1,28,80,0.35,0.24667193647253513,0.4647968854793358,0.21812494900680066
