dataset,model,scope,repetition,half_probe_count,mean_left,mean_right,signed_model_mean_difference,absolute_model_mean_difference,sample_mae,sample_rmse,sample_spearman
refcoco,groundingdino,clean_eligible,70,40,0.858066132264529,0.8561122244488978,0.001953907815631263,0.001953907815631263,0.028507014028056114,0.0486928329835915,0.9470517074889968
refcoco,groundingdino,full_manifest,71,40,0.8549500000000001,0.8558,-0.0008499999999999998,0.0008499999999999998,0.03075,0.053068352150787576,0.9529739174012227
refcoco,groundingdino,clean_eligible,71,40,0.8566633266533067,0.8575150300601202,-0.0008517034068136267,0.0008517034068136267,0.030811623246492986,0.05312150023837006,0.9526676187615957
refcoco,groundingdino,full_manifest,72,40,0.8569500000000001,0.8538000000000001,0.0031499999999999983,0.0031499999999999983,0.03125,0.05487485763079482,0.9474364490932586
refcoco,groundingdino,clean_eligible,72,40,0.8586673346693388,0.8555110220440881,0.003156312625250499,0.003156312625250499,0.031312625250501,0.05492981493813972,0.9470930462928964
refcoco,groundingdino,full_manifest,73,40,0.8557,0.85505,0.0006499999999999992,0.0006499999999999992,0.02935,0.05158730463980455,0.9500264638223568
refcoco,groundingdino,clean_eligible,73,40,0.8574148296593187,0.8567635270541082,0.0006513026052104201,0.0006513026052104201,0.02940881763527054,0.05163896945459567,0.9497005180506769
refcoco,groundingdino,full_manifest,74,40,0.8553,0.85545,-0.00015000000000000148,0.00015000000000000148,0.02845,0.04895150661624217,0.9486387070177194
refcoco,groundingdino,clean_eligible,74,40,0.8570140280561122,0.8571643286573146,-0.00015030060120240627,0.00015030060120240627,0.02850701402805611,0.04900053167271164,0.9483031522424415
refcoco,groundingdino,full_manifest,75,40,0.8573500000000001,0.8533999999999999,0.003950000000000001,0.003950000000000001,0.02835,0.04728900506460249,0.947464521069619
refcoco,groundingdino,clean_eligible,75,40,0.8590681362725451,0.8551102204408817,0.003957915831663328,0.003957915831663328,0.02840681362725451,0.04733636512160447,0.9471212927248095
refcoco,groundingdino,full_manifest,76,40,0.85525,0.8555,-0.00024999999999999995,0.00024999999999999995,0.02835,0.04713013897709194,0.9481640060382092
refcoco,groundingdino,clean_eligible,76,40,0.8569639278557114,0.8572144288577155,-0.00025050100200400805,0.00025050100200400805,0.02840681362725451,0.047177339929309406,0.9478253612429021
refcoco,groundingdino,full_manifest,77,40,0.8547,0.85605,-0.0013499999999999988,0.0013499999999999988,0.02645,0.043945989578117364,0.9517055572372977
refcoco,groundingdino,clean_eligible,77,40,0.8564128256513026,0.8577655310621242,-0.001352705410821642,0.001352705410821642,0.02650300601202405,0.04399000159673743,0.9513905851135985
refcoco,groundingdino,full_manifest,78,40,0.85475,0.856,-0.0012499999999999996,0.0012499999999999996,0.029150000000000002,0.049104480447307454,0.9523842947156284
refcoco,groundingdino,clean_eligible,78,40,0.8564629258517034,0.8577154308617234,-0.0012525050100200392,0.0012525050100200392,0.029208416833667337,0.04915365870745185,0.9520739500100192
refcoco,groundingdino,full_manifest,79,40,0.85505,0.8557,-0.0006500000000000003,0.0006500000000000003,0.030150000000000007,0.05055937104039172,0.9420919006822567
refcoco,groundingdino,clean_eligible,79,40,0.8567635270541082,0.8574148296593187,-0.000651302605210421,0.000651302605210421,0.030210420841683374,0.05061000637710869,0.9417133351426049
refcoco,groundingdino,full_manifest,80,40,0.8575499999999999,0.8532,0.0043500000000000014,0.0043500000000000014,0.03055,0.051246951128823263,0.9403493319657867
refcoco,groundingdino,clean_eligible,80,40,0.8592685370741483,0.8549098196392785,0.004358717434869741,0.004358717434869741,0.03061122244488978,0.05129827507872076,0.9399587704407799
refcoco,groundingdino,full_manifest,81,40,0.8577,0.85305,0.004650000000000002,0.004650000000000002,0.03135,0.05283228179815822,0.9387231470865556
refcoco,groundingdino,clean_eligible,81,40,0.8594188376753508,0.8547595190380761,0.004659318637274549,0.004659318637274549,0.03141282565130261,0.052885193460691336,0.9383216811046757
