dataset,model,diagnostic_budget,scope,predictor,bin_lower,bin_upper,sample_count,mean_prediction,mean_reference_operational,calibration_gap
refcoco,owlv2,5,paired_complete_cases,complete_case_persistence,0.5,0.6,12,0.5,0.4947916666666667,0.005208333333333315
refcoco,owlv2,5,paired_complete_cases,complete_case_persistence,0.6,0.7,40,0.6133333333333333,0.626875,-0.013541666666666674
refcoco,owlv2,5,paired_complete_cases,complete_case_persistence,0.7,0.8,12,0.75,0.6854166666666667,0.06458333333333333
refcoco,owlv2,5,paired_complete_cases,complete_case_persistence,0.8,0.9,48,0.7999999999999999,0.79140625,0.008593749999999956
refcoco,owlv2,5,paired_complete_cases,complete_case_persistence,0.9,1.0,321,1.0,0.839563862928349,0.16043613707165105
refcoco,owlv2,5,paired_complete_cases,coverage_aware_operational,0.0,0.1,8,0.0,0.20468750000000002,-0.20468750000000002
refcoco,owlv2,5,paired_complete_cases,coverage_aware_operational,0.2,0.3,29,0.20000000000000007,0.428448275862069,-0.22844827586206895
refcoco,owlv2,5,paired_complete_cases,coverage_aware_operational,0.4,0.5,56,0.39999999999999997,0.49843750000000003,-0.09843750000000007
refcoco,owlv2,5,paired_complete_cases,coverage_aware_operational,0.6,0.7,78,0.6000000000000001,0.6342948717948718,-0.03429487179487167
refcoco,owlv2,5,paired_complete_cases,coverage_aware_operational,0.8,0.9,100,0.7999999999999998,0.7863749999999999,0.013624999999999887
refcoco,owlv2,5,paired_complete_cases,coverage_aware_operational,0.9,1.0,214,1.0,0.9302570093457944,0.06974299065420564
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.0,0.1,4,0.0,0.19375,-0.19375
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.1,0.2,4,0.11696428571428572,0.240625,-0.12366071428571429
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.2,0.3,12,0.22242063492063494,0.3177083333333333,-0.09528769841269838
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.3,0.4,12,0.32361111111111107,0.44895833333333335,-0.12534722222222228
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.4,0.5,10,0.4117460317460317,0.43,-0.0182539682539683
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.5,0.6,22,0.5209235209235209,0.5267045454545455,-0.005781024531024581
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.6,0.7,25,0.6163333333333333,0.632,-0.015666666666666718
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.7,0.8,33,0.7236892736892736,0.6522727272727273,0.07141654641654627
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.8,0.9,53,0.8363057801737044,0.7127358490566036,0.1235699311171008
refcoco,owlv2,10,paired_complete_cases,complete_case_persistence,0.9,1.0,312,0.9871794871794872,0.8582532051282052,0.12892628205128198
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.0,0.1,4,0.0,0.19375,-0.19375
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.1,0.2,5,0.1,0.22999999999999998,-0.12999999999999998
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.2,0.3,15,0.20000000000000007,0.32249999999999995,-0.12249999999999989
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.3,0.4,22,0.29999999999999993,0.4142045454545455,-0.11420454545454556
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.4,0.5,23,0.40000000000000013,0.46250000000000013,-0.0625
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.5,0.6,41,0.5,0.5314024390243902,-0.031402439024390216
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.6,0.7,39,0.6000000000000002,0.6413461538461538,-0.04134615384615359
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.7,0.8,46,0.7,0.6790760869565217,0.020923913043478293
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.8,0.9,59,0.7999999999999998,0.7936440677966101,0.0063559322033897026
refcoco,owlv2,10,paired_complete_cases,coverage_aware_operational,0.9,1.0,233,0.9669527896995709,0.9370171673819742,0.029935622317596722
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.0,0.1,2,0.05131578947368421,0.13125,-0.0799342105263158
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.1,0.2,3,0.13092105263157894,0.3416666666666666,-0.21074561403508768
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.2,0.3,15,0.25016397202155716,0.29083333333333333,-0.040669361311776175
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.3,0.4,8,0.3319235588972431,0.27031249999999996,0.061611058897243165
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.4,0.5,12,0.44538734972171506,0.4666666666666666,-0.021279316944951554
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.5,0.6,25,0.5368614749543542,0.5245000000000001,0.012361474954354135
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.6,0.7,26,0.641377222278925,0.5889423076923077,0.05243491458661731
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.7,0.8,40,0.7457950352880693,0.7034375,0.04235753528806929
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.8,0.9,47,0.849032694830073,0.75,0.09903269483007304
refcoco,owlv2,20,paired_complete_cases,complete_case_persistence,0.9,1.0,309,0.9830157057433202,0.855906148867314,0.12710955687600622
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.0,0.1,3,0.05000000000000001,0.125,-0.07499999999999998
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.1,0.2,6,0.125,0.2791666666666666,-0.15416666666666662
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.2,0.3,17,0.23529411764705882,0.2948529411764706,-0.059558823529411775
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.3,0.4,18,0.3305555555555555,0.3493055555555556,-0.0187500000000001
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.4,0.5,25,0.43200000000000005,0.45699999999999996,-0.02499999999999991
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.5,0.6,47,0.5255319148936171,0.5308510638297873,-0.005319148936170248
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.6,0.7,40,0.625,0.6109375,0.014062499999999978
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.7,0.8,61,0.728688524590164,0.7569672131147541,-0.028278688524590145
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.8,0.9,57,0.825438596491228,0.8232456140350877,0.002192982456140302
refcoco,owlv2,20,paired_complete_cases,coverage_aware_operational,0.9,1.0,213,0.9647887323943662,0.9504107981220657,0.014377934272300497
refcoco,owlv2,40,paired_complete_cases,complete_case_persistence,0.0,0.1,1,0.025,0.0,0.025
