dataset,model,diagnostic_budget,scope,predictor,predictor_availability,evaluated_samples,bias,mae,rmse,reference_probe_brier,spearman,tie_aware_aurc
refcocoplus,yoloworld,40,paired_complete_cases,complete_case_persistence,0.757,757,0.21747861364880403,0.22503166538829955,0.32302089890800134,0.2617793406293517,0.3774579674344592,0.28347227406903913
refcocoplus,yoloworld,40,paired_complete_cases,coverage_aware_operational,0.757,757,0.0012879788639365921,0.04095112285336856,0.05552752301712582,0.16052014531043593,0.9764378520196526,0.1322363515862675
refl4,groundingdino,5,full_manifest,coverage_aware_operational,1.0,1000,-0.004912499999999995,0.05996249999999999,0.1032949357422715,0.0881225,0.825864299029465,0.040242039104406054
refl4,groundingdino,5,paired_complete_cases,complete_case_persistence,0.999,999,0.014072405739072409,0.062495829162495825,0.10848674361509278,0.08914706373039707,0.7674925867772697,0.04850220478632011
refl4,groundingdino,5,paired_complete_cases,coverage_aware_operational,0.999,999,-0.004729729729729724,0.05983483483483483,0.10317622222601887,0.08802302302302302,0.8252542092827925,0.04015265275583049
refl4,groundingdino,10,full_manifest,coverage_aware_operational,1.0,1000,-0.0003124999999999991,0.0440625,0.07516544252513917,0.08310250000000001,0.8844024404846519,0.03286500265916466
refl4,groundingdino,10,paired_complete_cases,complete_case_persistence,0.999,999,0.01885695219028552,0.049875669320113766,0.08743256213608036,0.08502214311186974,0.824398185763955,0.04089589705923133
refl4,groundingdino,10,paired_complete_cases,coverage_aware_operational,0.999,999,-0.00012512512512512434,0.04391891891891892,0.07496871219253942,0.08299799799799802,0.884010051313374,0.03276849641710834
refl4,groundingdino,20,full_manifest,coverage_aware_operational,1.0,1000,0.00043749999999999654,0.03353749999999999,0.05713881124069698,0.0807175,0.923349265479403,0.028402957123414577
refl4,groundingdino,20,paired_complete_cases,complete_case_persistence,1.0,1000,0.019647531892771828,0.04221401077852316,0.07940583221134041,0.08375794243917555,0.8538268143891766,0.03810651730704905
refl4,groundingdino,20,paired_complete_cases,coverage_aware_operational,1.0,1000,0.00043749999999999654,0.03353749999999999,0.05713881124069698,0.0807175,0.923349265479403,0.028402957123414577
refl4,groundingdino,40,full_manifest,coverage_aware_operational,1.0,1000,-0.00046250000000000425,0.0256375,0.043687455293253234,0.07936125,0.9548842578006447,0.025235582195635597
refl4,groundingdino,40,paired_complete_cases,complete_case_persistence,1.0,1000,0.018720404971241028,0.03569235641759825,0.071438898823143,0.08255617251506327,0.8787762633764021,0.035537524038262894
refl4,groundingdino,40,paired_complete_cases,coverage_aware_operational,1.0,1000,-0.00046250000000000425,0.0256375,0.043687455293253234,0.07936125,0.9548842578006447,0.025235582195635597
refl4,yoloworld,5,full_manifest,coverage_aware_operational,1.0,1000,-0.0011249999999999912,0.07435,0.11710305290640376,0.13366500000000003,0.943932461166652,0.19580769834093714
refl4,yoloworld,5,paired_complete_cases,complete_case_persistence,0.774,774,0.19209194659776055,0.2224967700258398,0.31117328911007813,0.2500916953775481,0.3985967736132645,0.2612721346836521
refl4,yoloworld,5,paired_complete_cases,coverage_aware_operational,0.774,774,0.000985142118863058,0.09362080103359174,0.13035447225428248,0.17025516795865633,0.8852069688964549,0.13990797515871017
refl4,yoloworld,10,full_manifest,coverage_aware_operational,1.0,1000,-0.0015249999999999977,0.0561,0.08763917503034815,0.1276325,0.9675453524154974,0.18655918858196407
refl4,yoloworld,10,paired_complete_cases,complete_case_persistence,0.779,779,0.19681036941948368,0.21554928989139518,0.30525745824844686,0.24672772717702113,0.40572711694570407,0.26016851357990456
refl4,yoloworld,10,paired_complete_cases,coverage_aware_operational,0.779,779,-0.0012997432605904972,0.07135750962772787,0.09817309874437687,0.16318356867779205,0.9330933815048528,0.12939380084418783
refl4,yoloworld,20,full_manifest,coverage_aware_operational,1.0,1000,0.002625,0.041375,0.06493746992299593,0.12416875000000001,0.9817727177339193,0.18057896492529218
refl4,yoloworld,20,paired_complete_cases,complete_case_persistence,0.78,780,0.19958655823043175,0.20839680185104692,0.29742568980842093,0.24211849127852783,0.438051257033827,0.2524709212066779
