dataset,model,tracked_candidate_count,match_iou_threshold,birth_duplicate_iou_threshold,clean_eligibility,coverage,complete_case_persistence,eligible_operational_stability,full_manifest_operational_stability,total_optimism,identity_residual
refcocoplus,groundingdino,5,0.25,0.7,1.0,0.9273125,0.908485542899508,0.84245,0.84245,0.06603554289950797,2.7755575615628914e-17
refcocoplus,groundingdino,5,0.25,0.85,1.0,0.9273125,0.908485542899508,0.84245,0.84245,0.06603554289950797,2.7755575615628914e-17
refcocoplus,yoloworld,2,0.1,0.5,0.757,0.8838342140026421,0.8939187295656236,0.7900759577278732,0.5980875,0.2958312295656236,5.551115123125783e-17
refcocoplus,yoloworld,2,0.1,0.7,0.757,0.8765521796565391,0.8978599954788637,0.7870211360634083,0.595775,0.3020849954788637,5.551115123125783e-17
refcocoplus,yoloworld,2,0.1,0.85,0.757,0.8765521796565391,0.8978599954788637,0.7870211360634083,0.595775,0.3020849954788637,5.551115123125783e-17
refcocoplus,yoloworld,2,0.15,0.5,0.757,0.8823976221928665,0.8938208765298102,0.7887054161162483,0.5970500000000001,0.29677087652981016,1.1102230246251565e-16
refcocoplus,yoloworld,2,0.15,0.7,0.757,0.8751155878467636,0.8977677981772554,0.7856505944517834,0.5947374999999999,0.30303029817725546,1.6653345369377348e-16
refcocoplus,yoloworld,2,0.15,0.85,0.757,0.8751155878467636,0.8977677981772554,0.7856505944517834,0.5947374999999999,0.30303029817725546,1.6653345369377348e-16
refcocoplus,yoloworld,2,0.25,0.5,0.757,0.8797225891677675,0.8939297244537878,0.7864101717305152,0.5953125,0.2986172244537878,1.1102230246251565e-16
refcocoplus,yoloworld,2,0.25,0.7,0.757,0.8724405548216645,0.8978896564777137,0.7833553500660502,0.593,0.3048896564777137,5.551115123125783e-17
refcocoplus,yoloworld,2,0.25,0.85,0.757,0.8724405548216645,0.8978896564777137,0.7833553500660502,0.593,0.3048896564777137,5.551115123125783e-17
refcocoplus,yoloworld,3,0.1,0.5,0.757,0.8410997357992075,0.873647839487995,0.734824966974901,0.5562625,0.31738533948799497,1.1102230246251565e-16
refcocoplus,yoloworld,3,0.1,0.7,0.757,0.8346103038309116,0.878304051915163,0.7330416116248349,0.5549124999999999,0.3233915519151631,2.220446049250313e-16
refcocoplus,yoloworld,3,0.1,0.85,0.757,0.8346103038309116,0.878304051915163,0.7330416116248349,0.5549124999999999,0.3233915519151631,2.220446049250313e-16
refcocoplus,yoloworld,3,0.15,0.5,0.757,0.8379128137384413,0.8738570077250513,0.7322159841479525,0.5542874999999999,0.3195695077250513,1.6653345369377348e-16
refcocoplus,yoloworld,3,0.15,0.7,0.757,0.831439894319683,0.8785351128058468,0.7304491413474241,0.55295,0.3255851128058468,0.0
refcocoplus,yoloworld,3,0.15,0.85,0.757,0.831439894319683,0.8785351128058468,0.7304491413474241,0.55295,0.3255851128058468,0.0
refcocoplus,yoloworld,3,0.25,0.5,0.757,0.8338011889035667,0.8737300722843846,0.7285171730515191,0.5514874999999999,0.3222425722843847,1.1102230246251565e-16
refcocoplus,yoloworld,3,0.25,0.7,0.757,0.8273282694848084,0.8784304333073867,0.7267503302509907,0.55015,0.32828043330738665,1.1102230246251565e-16
refcocoplus,yoloworld,3,0.25,0.85,0.757,0.8273282694848084,0.8784304333073867,0.7267503302509907,0.55015,0.32828043330738665,1.1102230246251565e-16
refcocoplus,yoloworld,5,0.1,0.5,0.757,0.7679656538969617,0.8675496688741722,0.6662483487450462,0.50435,0.3631996688741722,5.551115123125783e-17
refcocoplus,yoloworld,5,0.1,0.7,0.757,0.7637714663143991,0.8713408570069616,0.6655052840158521,0.5037875,0.36755335700696157,5.551115123125783e-17
refcocoplus,yoloworld,5,0.1,0.85,0.757,0.7637714663143991,0.8713408570069616,0.6655052840158521,0.5037875,0.36755335700696157,5.551115123125783e-17
refcocoplus,yoloworld,5,0.15,0.5,0.757,0.764613606340819,0.8678760393046108,0.6635898282694848,0.5023375,0.3655385393046108,0.0
refcocoplus,yoloworld,5,0.15,0.7,0.757,0.760435931307794,0.8716668114305568,0.6628467635402906,0.501775,0.3698918114305568,5.551115123125783e-17
refcocoplus,yoloworld,5,0.15,0.85,0.757,0.760435931307794,0.8716668114305568,0.6628467635402906,0.501775,0.3698918114305568,5.551115123125783e-17
refcocoplus,yoloworld,5,0.25,0.5,0.757,0.7602708058124175,0.8685547977933192,0.660336856010568,0.499875,0.3686797977933192,1.1102230246251565e-16
refcocoplus,yoloworld,5,0.25,0.7,0.757,0.7560931307793923,0.8723710934940707,0.6595937912813739,0.4993125,0.3730585934940707,5.551115123125783e-17
refcocoplus,yoloworld,5,0.25,0.85,0.757,0.7560931307793923,0.8723710934940707,0.6595937912813739,0.4993125,0.3730585934940707,5.551115123125783e-17
refl4,groundingdino,2,0.1,0.5,1.0,0.9524750000000001,0.9252473818210453,0.8812750000000001,0.8812750000000001,0.043972381821045126,1.3877787807814457e-17
