model,tracked_candidate_count,match_iou_threshold,birth_duplicate_iou_threshold,sample_count,eligible_count,clean_eligibility,reference_probe_count,full_manifest_operational,eligible_only_operational,winner_missing_share,competitor_missing_share,threatening_birth_share,ranking_reversal_share
groundingdino,3,0.15,0.5,1000,1000,1.0,80000,0.8786625,0.8786625,0.00041207376120325537,0.020809724940764395,0.20047388482538375,0.7783043164726486
groundingdino,3,0.15,0.7,1000,1000,1.0,80000,0.877725,0.877725,0.0004089143324473523,0.02065017378859129,0.21641791044776118,0.7625230014312001
groundingdino,3,0.15,0.85,1000,1000,1.0,80000,0.877725,0.877725,0.0004089143324473523,0.02065017378859129,0.21641791044776118,0.7625230014312001
groundingdino,3,0.25,0.5,1000,1000,1.0,80000,0.8782375000000001,0.8782375000000001,0.001026588645929576,0.025048762960681654,0.19885022071655886,0.7750744276768299
groundingdino,3,0.25,0.7,1000,1000,1.0,80000,0.8773,0.8773,0.0010187449062754685,0.024857375713121434,0.21475142624286878,0.7593724531377343
groundingdino,3,0.25,0.85,1000,1000,1.0,80000,0.8773,0.8773,0.0010187449062754685,0.024857375713121434,0.21475142624286878,0.7593724531377343
groundingdino,5,0.1,0.5,1000,1000,1.0,80000,0.8723875000000001,0.8723875000000001,0.0003918111470271329,0.07718679596434519,0.06464883925947693,0.8577725536291507
groundingdino,5,0.1,0.7,1000,1000,1.0,80000,0.8715625,0.8715625,0.00038929440389294404,0.07669099756690997,0.08389294403892944,0.8390267639902677
groundingdino,5,0.1,0.85,1000,1000,1.0,80000,0.8715625,0.8715625,0.00038929440389294404,0.07669099756690997,0.08389294403892944,0.8390267639902677
groundingdino,5,0.15,0.5,1000,1000,1.0,80000,0.8711125,0.8711125,0.0005819028222286878,0.09135874308990398,0.0622636019784696,0.8457957521093977
groundingdino,5,0.15,0.7,1000,1000,1.0,80000,0.8703125,0.8703125,0.0005783132530120482,0.09079518072289157,0.0811566265060241,0.8274698795180723
groundingdino,5,0.15,0.85,1000,1000,1.0,80000,0.8703125,0.8703125,0.0005783132530120482,0.09079518072289157,0.0811566265060241,0.8274698795180723
groundingdino,5,0.25,0.5,1000,1000,1.0,80000,0.8683500000000001,0.8683500000000001,0.001044436004557539,0.11526775541207748,0.059532852259779716,0.8241549563235853
groundingdino,5,0.25,0.7,1000,1000,1.0,80000,0.8675625,0.8675625,0.0010382255781028788,0.11458235016517225,0.0779613025011798,0.8064181217555451
groundingdino,5,0.25,0.85,1000,1000,1.0,80000,0.8675625,0.8675625,0.0010382255781028788,0.11458235016517225,0.0779613025011798,0.8064181217555451
yoloworld,2,0.1,0.5,1000,781,0.781,62480,0.6364749999999999,0.8149487836107553,0.08259816640719599,0.1883757135443695,0.2674277806607853,0.4615983393876492
