dataset,model,family,severity_bin,strength_low,strength_high,strength_mid,full_manifest_stability,lower,upper,eligible_probe_trials
RefCOCO+,yoloworld,gaussian_noise,3,0.4,0.6,0.5,0.5814410913600662,0.5522973229312259,0.6113473179093152,2419
RefCOCO+,yoloworld,gaussian_noise,4,0.6,0.8,0.7,0.5443771168938455,0.5151937536321003,0.5756714145051541,2421
RefCOCO+,yoloworld,gaussian_noise,5,0.8,1.0,0.9,0.4953365184877441,0.46281856533317195,0.525912877045555,2407
Ref-L4,groundingdino,blur,1,0.0,0.2,0.1,0.9353941267387944,0.9201973412717857,0.9490976113592081,3235
Ref-L4,groundingdino,blur,2,0.2,0.4,0.3,0.8510236220472441,0.8281294689964984,0.8725846954246957,3175
Ref-L4,groundingdino,blur,3,0.4,0.6,0.5,0.7644334671194813,0.7368566850417537,0.7920318299424655,3239
Ref-L4,groundingdino,blur,4,0.6,0.8,0.7,0.7193877551020408,0.6893923299656941,0.7507316177929447,3136
Ref-L4,groundingdino,blur,5,0.8,1.0,0.9,0.6842923794712286,0.6538393679042651,0.714418040877823,3215
Ref-L4,groundingdino,brightness,1,0.0,0.2,0.1,0.9820655534941249,0.9758925775155545,0.9874466097045259,3234
Ref-L4,groundingdino,brightness,2,0.2,0.4,0.3,0.9680480860487187,0.9591125520908689,0.9767899538572515,3161
Ref-L4,groundingdino,brightness,3,0.4,0.6,0.5,0.9440779139176877,0.9304925569207493,0.9568857768514428,3183
Ref-L4,groundingdino,brightness,4,0.6,0.8,0.7,0.9273399014778325,0.9123445139008185,0.941506412688702,3248
Ref-L4,groundingdino,brightness,5,0.8,1.0,0.9,0.926591052299937,0.9119055764340683,0.9401488283358562,3174
Ref-L4,groundingdino,jpeg,1,0.0,0.2,0.1,0.9271889400921659,0.9115188959998408,0.941591593919678,3255
Ref-L4,groundingdino,jpeg,2,0.2,0.4,0.3,0.8526785714285714,0.831073251807387,0.8746438746438746,3136
Ref-L4,groundingdino,jpeg,3,0.4,0.6,0.5,0.819703799098519,0.7951213442556447,0.8435920205092383,3106
Ref-L4,groundingdino,jpeg,4,0.6,0.8,0.7,0.7962128043282236,0.7701522378855907,0.8201516520863771,3327
Ref-L4,groundingdino,jpeg,5,0.8,1.0,0.9,0.7972292191435768,0.7723259394051074,0.8221901373407643,3176
Ref-L4,groundingdino,resolution,1,0.0,0.2,0.1,0.8879256965944272,0.8695379597117037,0.9054776211421315,3230
Ref-L4,groundingdino,resolution,2,0.2,0.4,0.3,0.8789571694599627,0.8584595926709688,0.8989563930452484,3222
Ref-L4,groundingdino,resolution,3,0.4,0.6,0.5,0.8763659069622229,0.8546562787781413,0.8977047813510294,3203
Ref-L4,groundingdino,resolution,4,0.6,0.8,0.7,0.8445692883895131,0.8196996822444392,0.866249590745389,3204
Ref-L4,groundingdino,resolution,5,0.8,1.0,0.9,0.8182107609041707,0.7952240200691971,0.842144175256539,3141
Ref-L4,groundingdino,gaussian_noise,1,0.0,0.2,0.1,0.9613970588235294,0.9509957263661697,0.9714659694801658,3264
Ref-L4,groundingdino,gaussian_noise,2,0.2,0.4,0.3,0.9298245614035088,0.9141410415344241,0.9438131522130262,3135
Ref-L4,groundingdino,gaussian_noise,3,0.4,0.6,0.5,0.9055241682360327,0.8877458250387217,0.9219216190931419,3186
Ref-L4,groundingdino,gaussian_noise,4,0.6,0.8,0.7,0.8896852602056715,0.8708029063430313,0.9075561189736526,3209
Ref-L4,groundingdino,gaussian_noise,5,0.8,1.0,0.9,0.8658764815970056,0.8460339887406915,0.8860570982800983,3206
Ref-L4,owlv2,blur,1,0.0,0.2,0.1,0.8276474597273854,0.8043468920999485,0.8496786027004778,3228
Ref-L4,owlv2,blur,2,0.2,0.4,0.3,0.699765225623225,0.6697255874374739,0.7292162168628653,3169
Ref-L4,owlv2,blur,3,0.4,0.6,0.5,0.6406456400742115,0.6087009579023268,0.6701858971384947,3234
Ref-L4,owlv2,blur,4,0.6,0.8,0.7,0.5461897763578275,0.5139018723160035,0.5789909274842893,3130
Ref-L4,owlv2,blur,5,0.8,1.0,0.9,0.5016451512316807,0.46875743347418913,0.535249965182467,3207
Ref-L4,owlv2,brightness,1,0.0,0.2,0.1,0.9578203778259523,0.946301197448635,0.9681957726845398,3229
Ref-L4,owlv2,brightness,2,0.2,0.4,0.3,0.9156253968253968,0.8998744983094041,0.9303503590199688,3150
Ref-L4,owlv2,brightness,3,0.4,0.6,0.5,0.8802001888574127,0.8613067545129912,0.8985513362209873,3177
