dataset,model,setting_index,setting_id,tracked_candidate_count,exposed_candidate_count,duplicate_iou_threshold,match_iou_threshold,birth_duplicate_iou_threshold,sample_count,eligible_count,clean_eligibility,reference_probe_count,coverage,conditional_ranking,full_manifest_operational,eligible_only_operational,winner_missing_share,competitor_missing_share,threatening_birth_share,ranking_reversal_share
RefCOCO,groundingdino,42,kt3_ke15_match0.25_birth0.50_dup0.70,3,15,0.7,0.25,0.5,500,499,0.998,39920,0.9784819639278557,0.9128286526202606,0.8914000391960144,0.8931863972084795,0.0014071294559099437,0.0926360225140713,0.10741088180112571,0.7985459662288931
RefCOCO,groundingdino,43,kt3_ke15_match0.25_birth0.70_dup0.70,3,15,0.7,0.25,0.7,500,499,0.998,39920,0.9739729458917835,0.9153828348036316,0.8897750377655029,0.8915581406954534,0.001386001386001386,0.09124509124509124,0.1473781473781474,0.75999075999076
RefCOCO,groundingdino,44,kt3_ke15_match0.25_birth0.85_dup0.70,3,15,0.7,0.25,0.85,500,499,0.998,39920,0.9739729458917835,0.9153828348036316,0.8897750377655029,0.8915581406954534,0.001386001386001386,0.09124509124509124,0.1473781473781474,0.75999075999076
RefCOCO,groundingdino,45,kt3_ke20_match0.10_birth0.50_dup0.70,3,20,0.7,0.1,0.5,500,499,0.998,39920,0.9803857715430861,0.9129212765413803,0.8932249546051025,0.8950150055971318,0.00023860653781913624,0.0744452397995705,0.11214507277499404,0.8131710808876164
RefCOCO,groundingdino,46,kt3_ke20_match0.10_birth0.70_dup0.70,3,20,0.7,0.1,0.7,500,499,0.998,39920,0.9758767535070141,0.915470903817029,0.8915999531745911,0.8933867490841058,0.00023496240601503758,0.07330827067669173,0.15272556390977443,0.7737312030075187
RefCOCO,groundingdino,47,kt3_ke20_match0.10_birth0.85_dup0.70,3,20,0.7,0.1,0.85,500,499,0.998,39920,0.9758767535070141,0.915470903817029,0.8915999531745911,0.8933867490841058,0.00023496240601503758,0.07330827067669173,0.15272556390977443,0.7737312030075187
RefCOCO,groundingdino,48,kt3_ke20_match0.15_birth0.50_dup0.70,3,20,0.7,0.15,0.5,500,499,0.998,39920,0.9792585170340682,0.9128466182339098,0.8921250104904175,0.8939128256513026,0.0004722550177095632,0.08571428571428572,0.10932703659976387,0.8044864226682409
RefCOCO,groundingdino,49,kt3_ke20_match0.15_birth0.70_dup0.70,3,20,0.7,0.15,0.7,500,499,0.998,39920,0.974749498997996,0.9153988486842105,0.890500009059906,0.8922845691382766,0.00046511627906976747,0.08441860465116278,0.14953488372093024,0.7655813953488372
RefCOCO,groundingdino,50,kt3_ke20_match0.15_birth0.85_dup0.70,3,20,0.7,0.15,0.85,500,499,0.998,39920,0.974749498997996,0.9153988486842105,0.890500009059906,0.8922845691382766,0.00046511627906976747,0.08441860465116278,0.14953488372093024,0.7655813953488372
RefCOCO,groundingdino,51,kt3_ke20_match0.25_birth0.50_dup0.70,3,20,0.7,0.25,0.5,500,499,0.998,39920,0.9785070140280561,0.9128308842353182,0.8914250731468201,0.8932114717716684,0.001172882946281961,0.09195402298850575,0.10813980764719681,0.7987332864180154
RefCOCO,groundingdino,52,kt3_ke20_match0.25_birth0.70_dup0.70,3,20,0.7,0.25,0.7,500,499,0.998,39920,0.973997995991984,0.9153850110591019,0.8898000717163086,0.8915832152586423,0.0011552680221811461,0.09057301293900184,0.1481053604436229,0.7601663585951941
